country,platform,month_latest,month_prev,seller_used_id,seller_name,final_revenue,final_revenue_prev,delta_final_revenue,growth_rate_revenue,final_quantity,final_quantity_prev,delta_final_quantity,growth_rate_quantity,abnormal_flag,abnormal_type,risk_level
PH,LAZ,2025-11,2025-10,PH.LAZ.100000041,,845315.0,2351895.0,-1506580.0,-64.06%,1056.0,2906.0,-1850.0,-63.66%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001003,,1099089.0,956549.0,142540.0,14.9%,973.0,847.0,126.0,14.88%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001011,,16564849.19,11898570.94,4666278.25,39.22%,28676.0,21728.0,6948.0,31.98%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001013,,9844529.34,10722686.28,-878156.9399999995,-8.19%,12038.0,15516.0,-3478.0,-22.42%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001035,,2748641.48,2394331.5,354309.98,14.8%,1288.0,1122.0,166.0,14.8%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001039,,10978845.45,9088846.15,1889999.2999999989,20.79%,18613.0,18139.0,474.0,2.61%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001044,,91584.0,80136.0,11448.0,14.29%,16.0,14.0,2.0,14.29%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100000105,,6528395.0,1281427.0,5246968.0,409.46%,12813.0,1602.0,11211.0,699.81%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001069,,3088880.34,2578434.22,510446.11999999965,19.8%,5055.0,4202.0,853.0,20.3%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001070,,91260.0,115371.0,-24111.0,-20.9%,507.0,765.0,-258.0,-33.73%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000001394,,1650.0,4080.0,-2430.0,-59.56%,6.0,17.0,-11.0,-64.71%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000003506,,25965.04,23636.0,2329.040000000001,9.85%,151.0,98.0,53.0,54.08%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100000393,,133147.6,12650.0,120497.6,952.55%,1360.0,110.0,1250.0,1136.36%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000004188,,62181.0,175784.0,-113603.0,-64.63%,47.0,288.0,-241.0,-83.68%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000004762,,11737.0,91206.70999999999,-79469.70999999999,-87.13%,34.0,172.0,-138.0,-80.23%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000005208,,3736021.0,3968502.0,-232481.0,-5.86%,5875.0,6323.0,-448.0,-7.09%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000005356,,8781743.0,7526326.0,1255417.0,16.68%,23159.0,23695.0,-536.0,-2.26%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000005700,,83723.6,24890.8,58832.8,236.36%,370.0,110.0,260.0,236.36%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000008730,,113391.19,30906.0,82485.19,266.89%,399.0,192.0,207.0,107.81%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000010026,,566933.0,207867.0,359066.0,172.74%,1967.0,594.0,1373.0,231.14%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000010398,,2990.0,2388.0,602.0,25.21%,13.0,12.0,1.0,8.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000011403,,368.0,149.0,219.0,146.98%,2.0,1.0,1.0,100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000011491,,1605.69,13392.0,-11786.31,-88.01%,31.0,71.0,-40.0,-56.34%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000011747,,22385.0,16402.7,5982.299999999999,36.47%,16.0,13.0,3.0,23.08%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100001195,,1360359.1,705115.0,655244.1000000001,92.93%,6536.0,3675.0,2861.0,77.85%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000012145,,723809.12,542733.01,181076.11,33.36%,3564.0,2901.0,663.0,22.85%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000014008,,0.0,15588.0,-15588.0,-100.0%,0.0,12.0,-12.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100001703,,3610.0,2660.0,950.0,35.71%,38.0,28.0,10.0,35.71%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000019575,,1278.0,620.0,658.0,106.13%,27.0,10.0,17.0,170.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000019938,,64275538.0,54265524.0,10010014.0,18.45%,142165.0,125327.0,16838.0,13.44%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000020446,,158864.0,259383.68,-100519.68,-38.75%,3218.0,5060.0,-1842.0,-36.4%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000021085,,1200.0,1200.0,0.0,0.0%,2.0,2.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000021237,,2214.0,2700.0,-486.0,-18.0%,41.0,50.0,-9.0,-18.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000022712,,1192.0,0.0,1192.0,-,4.0,0.0,4.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000023291,,33781.799999999996,21770.88,12010.919999999995,55.17%,195.0,116.0,79.0,68.1%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000025509,,75879.91,1820.0,74059.91,4069.23%,463.0,28.0,435.0,1553.57%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.100002570,,1480.0,740.0,740.0,100.0%,2.0,1.0,1.0,100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000028913,,368.0,189.0,179.0,94.71%,2.0,1.0,1.0,100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000030639,,175.0,3521.1,-3346.1,-95.03%,5.0,110.0,-105.0,-95.45%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000034423,,0.0,860.0,-860.0,-100.0%,0.0,2.0,-2.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100003495,,0.0,20155.0,-20155.0,-100.0%,0.0,145.0,-145.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000040261,,13998897.0,11736869.0,2262028.0,19.27%,9313.0,7266.0,2047.0,28.17%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000041605,,1147552.83,933260.0,214292.83000000007,22.96%,3433.0,2796.0,637.0,22.78%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000044421,,62971.0,97638.0,-34667.0,-35.51%,1437.0,1674.0,-237.0,-14.16%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100004611,,6482473.0,5193804.5,1288668.5,24.81%,7367.0,5902.0,1465.0,24.82%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000054128,,11303.0,8314.0,2989.0,35.95%,23.0,16.0,7.0,43.75%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100005713,,33734313.0,16580614.0,17153699.0,103.46%,87261.0,36054.0,51207.0,142.03%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100005748,,92430.0,44814.0,47616.0,106.25%,158.0,22.0,136.0,618.18%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100005749,,14058.0,11811.69,2246.3099999999995,19.02%,142.0,123.0,19.0,15.45%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000057833,,9413.0,6715.0,2698.0,40.18%,47.0,17.0,30.0,176.47%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000058052,,495.0,9202.0,-8707.0,-94.62%,7.0,100.0,-93.0,-93.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000060506,,10780.0,0.0,10780.0,-,158.0,1.0,157.0,15700.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000061397,,0.0,737.6,-737.6,-100.0%,0.0,3.0,-3.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000064974,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000066681,,8380570.0,7679630.0,700940.0,9.13%,3133.0,2910.0,223.0,7.66%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000067015,,41749.0,44603.62,-2854.6200000000026,-6.4%,24.0,28.0,-4.0,-14.29%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000068293,,101.0,66.0,35.0,53.03%,2.0,1.0,1.0,100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000069559,,2376.0,3861.0,-1485.0,-38.46%,24.0,39.0,-15.0,-38.46%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000069976,,7032152.0,6966080.0,66072.0,0.95%,22111.0,21777.0,334.0,1.53%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000069993,,61954.0,12512.0,49442.0,395.16%,64.0,17.0,47.0,276.47%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000071321,,276.0,207.0,69.0,33.33%,4.0,3.0,1.0,33.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000072070,,9459.0,2484.0,6975.0,280.8%,13.0,6.0,7.0,116.67%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000072794,,380.0,2280.0,-1900.0,-83.33%,1.0,6.0,-5.0,-83.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000073569,,85533.0,63337.37,22195.629999999997,35.04%,423.0,359.0,64.0,17.83%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000073624,,394.0,66.0,328.0,496.97%,8.0,2.0,6.0,300.0%,True,base-effect,low
PH,LAZ,2025-11,2025-10,PH.LAZ.1000073851,,378.0,1323.0,-945.0,-71.43%,2.0,7.0,-5.0,-71.43%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000074037,,621.0,483.0,138.0,28.57%,9.0,7.0,2.0,28.57%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100007470,,0.0,636.0,-636.0,-100.0%,0.0,6.0,-6.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000078315,,24275.46,7524.2,16751.26,222.63%,243.0,111.0,132.0,118.92%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000081967,,25370.0,34400.0,-9030.0,-26.25%,118.0,160.0,-42.0,-26.25%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000082268,,761300.0,437080.87,324219.13,74.18%,2500.0,1836.0,664.0,36.17%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000084840,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000086666,,380592.0,207126.0,173466.0,83.75%,215.0,150.0,65.0,43.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000090536,,4685.0,2415.0,2270.0,94.0%,13.0,7.0,6.0,85.71%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000093070,,435.0,60.0,375.0,625.0%,4.0,1.0,3.0,300.0%,True,base-effect,low
PH,LAZ,2025-11,2025-10,PH.LAZ.1000094296,,17505.74,6733.36,10772.380000000001,159.99%,326.0,122.0,204.0,167.21%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000094862,,7863.0,4540.62,3322.38,73.17%,22.0,12.0,10.0,83.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000104338,,2197.0,9295.0,-7098.0,-76.36%,13.0,55.0,-42.0,-76.36%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000105475,,47206.5,38979.0,8227.5,21.11%,88.0,61.0,27.0,44.26%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000105858,,152.0,126.42,25.58,20.23%,8.0,7.0,1.0,14.29%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100010832,,699.0,0.0,699.0,-,1.0,0.0,1.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000111120,,0.0,128.0,-128.0,-100.0%,0.0,1.0,-1.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000111311,,4131.0,4868.21,-737.21,-15.14%,153.0,167.0,-14.0,-8.38%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000111528,,3983283.44,5424519.0,-1441235.56,-26.57%,32901.0,48052.0,-15151.0,-31.53%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100011252,,73920.0,55590.75,18329.25,32.97%,924.0,797.0,127.0,15.93%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000113437,,520.0,3630.0,-3110.0,-85.67%,2.0,11.0,-9.0,-81.82%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000117800,,9130.0,12150.0,-3020.0,-24.86%,14.0,19.0,-5.0,-26.32%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119529,,20170.0,5165.139999999999,15004.86,290.5%,221.0,64.0,157.0,245.31%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119551,,50551.0,200960.15,-150409.15,-74.85%,260.0,1063.0,-803.0,-75.54%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000119565,,8600.0,2200.0,6400.0,290.91%,43.0,11.0,32.0,290.91%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000120194,,6476640.0,3693287.0,2783353.0,75.36%,42282.0,23319.0,18963.0,81.32%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100012296,,45559.0,4495.0,41064.0,913.55%,41.0,5.0,36.0,720.0%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000125147,,3495.25,11471.24,-7975.99,-69.53%,31.0,116.0,-85.0,-73.28%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000125525,,0.0,4400.0,-4400.0,-100.0%,0.0,11.0,-11.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000125709,,6331.24,13230.8,-6899.5599999999995,-52.15%,40.0,88.0,-48.0,-54.55%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127469,,575.0,340.0,235.0,69.12%,23.0,17.0,6.0,35.29%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127561,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127791,,1273.0,294.0,979.0,332.99%,47.0,6.0,41.0,683.33%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000127967,,89.0,5165.0,-5076.0,-98.28%,1.0,35.0,-34.0,-97.14%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000130322,,7637.79,110.0,7527.79,6843.45%,115.0,2.0,113.0,5650.0%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000135131,,984033.0,718190.0,265843.0,37.02%,3433.0,2615.0,818.0,31.28%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100013548,,0.0,0.0,0.0,-,57.0,30.0,27.0,90.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000138462,,433764.01,686062.0,-252297.99,-36.77%,660.0,824.0,-164.0,-19.9%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000139094,Nestlé Purina,1921977.91,2246508.8000000003,-324530.89000000036,-14.45%,3221.0,5243.0,-2022.0,-38.57%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000141471,,29.0,29.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000144177,,435.0,4725.0,-4290.0,-90.79%,3.0,45.0,-42.0,-93.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000145074,,1764240.0,846772.0,917468.0,108.35%,7664.0,3872.0,3792.0,97.93%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000146233,,175.0,175.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000148079,,12200.0,10600.0,1600.0,15.09%,31.0,27.0,4.0,14.81%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000149304,,242424.0,55903.83,186520.16999999998,333.64%,1025.0,268.0,757.0,282.46%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000151216,,49.0,49.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000153667,,128490.0,129875.8,-1385.800000000003,-1.07%,306.0,249.0,57.0,22.89%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000154553,,142459.0,162565.0,-20106.0,-12.37%,418.0,530.0,-112.0,-21.13%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000156155,,4369.0,3500.0,869.0,24.83%,13.0,2.0,11.0,550.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000156472,,5550.0,1110.0,4440.0,400.0%,10.0,2.0,8.0,400.0%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000163094,,1998.75,1599.0,399.75,25.0%,5.0,4.0,1.0,25.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000163522,,78498.0,16907.1,61590.9,364.29%,372.0,83.0,289.0,348.19%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000164224,,532.0,60.0,472.0,786.67%,7.0,1.0,6.0,600.0%,True,base-effect,low
PH,LAZ,2025-11,2025-10,PH.LAZ.1000164267,,172200.0,81852.16,90347.84,110.38%,600.0,303.0,297.0,98.02%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000165577,,1298728.0,631561.2,667166.8,105.64%,3112.0,1943.0,1169.0,60.16%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000169967,,300.0,300.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000172413,,2600.0,10300.0,-7700.0,-74.76%,2.0,10.0,-8.0,-80.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000173529,,7508071.0,5362618.0,2145453.0,40.01%,9156.0,6957.0,2199.0,31.61%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000180495,,0.0,4458.0,-4458.0,-100.0%,0.0,6.0,-6.0,-100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000187623,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000190111,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000190250,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000203027,,1157.0,0.0,1157.0,-,1.0,0.0,1.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000203737,,1576780.2,1328771.27,248008.92999999993,18.66%,2460.0,2164.0,296.0,13.68%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000203987,,480.0,7520.0,-7040.0,-93.62%,6.0,94.0,-88.0,-93.62%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000204744,,140.0,130.0,10.0,7.69%,2.0,1.0,1.0,100.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000211258,,48438.0,16744.0,31694.0,189.29%,162.0,56.0,106.0,189.29%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000211778,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100021301,,232.96,232.96,0.0,0.0%,2.0,2.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000215280,,18097.0,7454.72,10642.279999999999,142.76%,137.0,68.0,69.0,101.47%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000218319,,7200.0,2700.0,4500.0,166.67%,16.0,6.0,10.0,166.67%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000219381,,19656.0,49512.0,-29856.0,-60.3%,17.0,49.0,-32.0,-65.31%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.100022033,,220382.0,23987.0,196395.0,818.76%,978.0,83.0,895.0,1078.31%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000222041,,21945.0,40638.15,-18693.15,-46.0%,55.0,105.0,-50.0,-47.62%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000222688,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000222796,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000225456,,1396128.44,468589.0,927539.44,197.94%,5448.0,1345.0,4103.0,305.06%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000229478,LazMart,74197314.4565,92207340.4509,-18010025.99440001,-19.53%,236422.0,271962.0,-35540.0,-13.07%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000231032,,252.58,4396.04,-4143.46,-94.25%,2.0,44.0,-42.0,-95.45%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000231124,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000234494,,13845.0,10160.0,3685.0,36.27%,21.0,16.0,5.0,31.25%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000238513,,20.0,20.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000243932,,875.0,12930.0,-12055.0,-93.23%,5.0,78.0,-73.0,-93.59%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000244079,,155.0,155.0,0.0,0.0%,1.0,1.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000254227,,825.0,535.14,289.86,54.17%,3.0,2.0,1.0,50.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000254595,,4007552.0,1526835.0,2480717.0,162.47%,19282.0,6934.0,12348.0,178.08%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000255955,,120.0,297.0,-177.0,-59.6%,4.0,3.0,1.0,33.33%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000255964,,14578.0,3716.0,10862.0,292.3%,230.0,152.0,78.0,51.32%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000256920,,12787.0,4214.65,8572.35,203.39%,153.0,55.0,98.0,178.18%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000257955,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000258055,,42083.52,28233.66,13849.859999999997,49.05%,320.0,182.0,138.0,75.82%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000258642,,800.0,4220.0,-3420.0,-81.04%,5.0,20.0,-15.0,-75.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000261575,,91226.34,63588.5,27637.839999999997,43.46%,428.0,312.0,116.0,37.18%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000261894,,140.0,140.0,0.0,0.0%,4.0,4.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000263266,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000264172,,676.0,17745.0,-17069.0,-96.19%,4.0,105.0,-101.0,-96.19%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000266171,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000267481,,1777.0,61.11,1715.89,2807.87%,53.0,7.0,46.0,657.14%,True,base-effect,low
PH,LAZ,2025-11,2025-10,PH.LAZ.1000268641,,34490.880000000005,55452.64,-20961.759999999995,-37.8%,72.0,116.0,-44.0,-37.93%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000270198,,9945.0,8415.0,1530.0,18.18%,39.0,33.0,6.0,18.18%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000271587,,15172.08,567.12,14604.96,2575.29%,60.0,3.0,57.0,1900.0%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000272622,,12403.0,836.0,11567.0,1383.61%,157.0,11.0,146.0,1327.27%,True,source-switch,medium
PH,LAZ,2025-11,2025-10,PH.LAZ.1000273047,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000274682,,1425209.42,1426945.0,-1735.5800000000745,-0.12%,1268.0,916.0,352.0,38.43%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000275163,,6225.0,525.9300000000001,5699.07,1083.62%,22.0,3.0,19.0,633.33%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000279912,,14761.0,17745.0,-2984.0,-16.82%,89.0,105.0,-16.0,-15.24%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000290705,,363.0,6787.4800000000005,-6424.4800000000005,-94.65%,11.0,278.0,-267.0,-96.04%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000297642,,1380.0,1380.0,0.0,0.0%,2.0,2.0,0.0,0.0%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000301553,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000303651,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000305656,,1832900.0,897850.0,935050.0,104.14%,825.0,425.0,400.0,94.12%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000309819,,47590.0,21876.36,25713.64,117.54%,369.0,88.0,281.0,319.32%,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000320305,,65715.0,21188.0,44527.0,210.15%,15.0,3.0,12.0,400.0%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.1000324707,,350625.1,65251.8,285373.3,437.34%,2338.0,339.0,1999.0,589.68%,True,spike-out-trend,high
PH,LAZ,2025-11,2025-10,PH.LAZ.100033165,,0.0,0.0,0.0,-,0.0,0.0,0.0,-,False,none,none
PH,LAZ,2025-11,2025-10,PH.LAZ.1000332565,,43700.0,40940.0,2760.0,6.74%,24.0,23.0,1.0,4.35%,False,none,none
